max_nr_of_specs,velgridwidth,telluric_cut,mindepthparam,maxdepthparam,modelspecdeviationcut,exclwidelinesparam,telloption,erroption,rassoption,LSD RV std,LSD RV MAD,DRS RV std,DRS RV MAD,sigmafit_used,comp time
10000.0,2.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,0.998,0.809,2.406,2.76,3.583,6.0
10000.0,2.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.432,1.088,2.406,2.76,3.583,6.0
10000.0,2.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.9769999999999999,1.038,2.406,2.76,3.583,6.0
10000.0,2.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.556,0.723,2.406,2.76,3.583,6.0
10000.0,2.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.01,0.897,2.406,2.76,3.583,5.8
10000.0,2.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,1.571,1.435,2.406,2.76,3.583,6.0
10000.0,2.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.0140000000000002,1.092,2.406,2.76,3.583,6.1
10000.0,2.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.693,0.994,2.406,2.76,3.583,6.1
10000.0,3.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.106,1.6340000000000001,2.406,2.76,4.479,6.1
10000.0,3.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.064,1.5490000000000002,2.406,2.76,4.479,6.0
10000.0,3.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.944,1.716,2.406,2.76,4.479,6.1
10000.0,3.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.793,1.178,2.406,2.76,4.479,5.9
10000.0,3.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,2.1519999999999997,1.7409999999999999,2.406,2.76,4.479,6.2
10000.0,3.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.162,2.162,2.406,2.76,4.479,6.1
10000.0,3.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,2.022,2.006,2.406,2.76,4.479,6.2
10000.0,3.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.908,1.489,2.406,2.76,4.479,5.9
10000.0,3.5,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.8430000000000002,1.46,2.406,2.76,15.227,6.2
10000.0,3.5,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.19,2.213,2.406,2.76,14.331,6.1
10000.0,3.5,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.485,1.604,2.406,2.76,13.436,6.5
10000.0,3.5,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.519,1.149,2.406,2.76,3.583,6.5
10000.0,3.5,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,1.901,1.51,2.406,2.76,15.227,6.2
10000.0,3.5,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,2.214,1.804,2.406,2.76,14.331,6.1
10000.0,3.5,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.564,1.348,2.406,2.76,3.583,6.6
10000.0,3.5,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.63,1.928,2.406,2.76,15.227,6.6
10000.0,4.0,0.2,0.1,0.8,0.5,0.0,1.0,0.0,1.0,0.9690000000000001,0.8490000000000001,2.406,2.76,3.583,6.4
10000.0,4.0,0.2,0.1,0.8,1.0,0.0,1.0,0.0,1.0,0.593,0.242,2.406,2.76,3.583,6.9
10000.0,4.0,0.2,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.484,1.6340000000000001,2.406,2.76,3.583,6.9
10000.0,4.0,0.2,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.416,0.77,2.406,2.76,3.583,6.4
10000.0,4.0,0.1,0.1,0.8,0.5,0.0,1.0,0.0,1.0,0.971,0.9640000000000001,2.406,2.76,3.583,6.2
10000.0,4.0,0.1,0.1,0.8,1.0,0.0,1.0,0.0,1.0,0.687,0.495,2.406,2.76,3.583,6.1
10000.0,4.0,0.1,0.1,1.0,0.5,0.0,1.0,0.0,1.0,1.538,1.604,2.406,2.76,3.583,6.6
10000.0,4.0,0.1,0.1,1.0,1.0,0.0,1.0,0.0,1.0,1.497,1.106,2.406,2.76,3.583,6.4
